Notes,Age,Age Code,Gender,Gender Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,2 years,2,Male,M,2013,2013,2042268
,2 years,2,Male,M,2014,2014,2023750
,2 years,2,Male,M,2015,2015,2027455
,2 years,2,Male,M,2016,2016,2043165
,2 years,2,Male,M,2017,2017,2056328
,2 years,2,Male,M,2018,2018,2040071
Total,2 years,2,Male,M,,,40457440
Total,2 years,2,,,,,79157725
,3 years,3,Female,F,1999,1999,1868553
,3 years,3,Female,F,2000,2000,1868411
,3 years,3,Female,F,2001,2001,1857443
,3 years,3,Female,F,2002,2002,1859439
,3 years,3,Female,F,2003,2003,1885740
,3 years,3,Female,F,2004,2004,1962287
,3 years,3,Female,F,2005,2005,1930395
,3 years,3,Female,F,2006,2006,1939447
,3 years,3,Female,F,2007,2007,1958867
,3 years,3,Female,F,2008,2008,1952383
,3 years,3,Female,F,2009,2009,1969393
,3 years,3,Female,F,2010,2010,2010539
,3 years,3,Female,F,2011,2011,2007855
,3 years,3,Female,F,2012,2012,1949981
,3 years,3,Female,F,2013,2013,1953938
,3 years,3,Female,F,2014,2014,1956681
,3 years,3,Female,F,2015,2015,1942740
,3 years,3,Female,F,2016,2016,1946953
,3 years,3,Female,F,2017,2017,1955978
,3 years,3,Female,F,2018,2018,1972327
Total,3 years,3,Female,F,,,38749350
,3 years,3,Male,M,1999,1999,1956253
,3 years,3,Male,M,2000,2000,1952707
,3 years,3,Male,M,2001,2001,1945267
,3 years,3,Male,M,2002,2002,1944897
,3 years,3,Male,M,2003,2003,1974987
,3 years,3,Male,M,2004,2004,2045933
,3 years,3,Male,M,2005,2005,2012820
,3 years,3,Male,M,2006,2006,2026575
,3 years,3,Male,M,2007,2007,2045144
,3 years,3,Male,M,2008,2008,2039937
,3 years,3,Male,M,2009,2009,2056282
,3 years,3,Male,M,2010,2010,2101149
,3 years,3,Male,M,2011,2011,2093789
,3 years,3,Male,M,2012,2012,2031551
,3 years,3,Male,M,2013,2013,2037081
,3 years,3,Male,M,2014,2014,2049251
,3 years,3,Male,M,2015,2015,2031614
,3 years,3,Male,M,2016,2016,2035766
,3 years,3,Male,M,2017,2017,2050824
,3 years,3,Male,M,2018,2018,2064235
Total,3 years,3,Male,M,,,40496062
Total,3 years,3,,,,,79245412
,4 years,4,Female,F,1999,1999,1926335
,4 years,4,Female,F,2000,2000,1905329
,4 years,4,Female,F,2001,2001,1871311
,4 years,4,Female,F,2002,2002,1861887
,4 years,4,Female,F,2003,2003,1864923
,4 years,4,Female,F,2004,2004,1892670
,4 years,4,Female,F,2005,2005,1971897
,4 years,4,Female,F,2006,2006,1942684
,4 years,4,Female,F,2007,2007,1953816
,4 years,4,Female,F,2008,2008,1975431
,4 years,4,Female,F,2009,2009,1970678
,4 years,4,Female,F,2010,2010,1993132
,4 years,4,Female,F,2011,2011,2015652
,4 years,4,Female,F,2012,2012,2012989
,4 years,4,Female,F,2013,2013,1955714
,4 years,4,Female,F,2014,2014,1960507
,4 years,4,Female,F,2015,2015,1963887
